Códigos e Alíquotas de FPAS/Terceiros#6 55 9 16 7 7
CÓDIGO FPAS|<DESCRIÇÃO DE ATIVIDADES|BASE DE CÁLCULO|TERCEIROS|CÓDIGO DE TERCEIROS|ALÍQUOTA
^|^|^|##TOTAL##|##0003##|##2,7%##
531|INDÚSTRIA DE CANA-DE-AÇÚCAR - DE LATICÍNIO - DE BENEFICIAMENTO DE CHÁ E MATE - DA UVA - DE EXTRAÇÃO E BENEFICIAMENTO DE FIBRAS VEGETAIS E DE DESCAROÇAMENTO DE ALGODÃO - DE BENEFICIAMENTO DE CAFÉ E DE CEREAIS - DE EXTRAÇÃO DE MADEIRA PARA SERRARIA, DE RESINA, LENHA E CARVÃO VEGETAL - MATADOURO OU ABATEDOURO E O SETOR DE ABATE DE ANIMAL DE QUALQUER ESPÉCIE, inclusive das agroindústrias de PISCICULTURA, CARCINICULTURA, SUINOCULTURA E AVICULTURA, E CHARQUEADA.|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|2,7%
^|^|^|##TOTAL##|##0003##|##5,2%##
540|EMPRESA DE NAVEGAÇÃO MARÍTIMA, FLUVIAL OU LACUSTRE (exceto em relação aos tripulantes de embarcação inscrita no Registro Especial Brasileiro - REB - FPAS 523) - AGÊNCIA DE NAVEGAÇÃO - SERVIÇO PORTUÁRIO - EMPRESA DE DRAGAGEM [Serviços de dragagem em portos, terminais, marinas, área marítima (canais / mares) fluvial e lacustre, ou seja, dragagem no meio aquaviário] - EMPRESA DE ADMINISTRAÇÃO E EXPLORAÇÃO DE PORTOS - SERVIÇOS PORTUÁRIOS (inclusive empresas de praticagem) - ÓRGÃO DE GESTÃO DE MÃO-DE-OBRA (em relação aos empregados permanentes) - EMPRESA DE CAPTURA DE PESCADO (inclusive armador de pesca em relação aos empregados envolvidos na atividade de captura de pescado e do escritório) - ESTALEIRO - setor de reparos e consertos sem desmontagem de embarcações navais.|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ DPC|0128|2,5%
^|^|^|##TOTAL##|##0131##|##5,2%##
558|EMPRESA AEROVIÁRIA, INCLUSIVE TÁXI-AÉREO - EMPRESA DE SERVIÇO AÉREO ESPECIALIZADO - EMPRESA DE TELECOMUNICAÇÕES AERONÁUTICAS - IMPLANTAÇÃO, ADMINISTRAÇÃO, OPERAÇÃO E EXPLORAÇÃO DE INFRAESTRUTURA AEROPORTUÁRIA E DE SERVIÇOS AUXILIARES - EMPRESA DE FABRICAÇÃO, REPARO E MANUTENÇÃO OU REPRESENTAÇÃO DE AERONAVE, SUAS PEÇAS E ACESSÓRIOS - EMPRESA DE EQUIPAMENTO AERONÁUTICO - TRANSPORTE ESPACIAL.|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ FUNDO AEROVIÁRIO|0256|2,5%
^|^|^|##TOTAL##|##0259##|##5,2%##
566|EMPRESA DE COMUNICAÇÃO - EMPRESA DE PUBLICIDADE - EMPRESA JORNALÍSTICA - EMPRESA DE DIFUSÃO CULTURAL E ARTÍSTICA - ESTABELECIMENTO DE CULTURA FÍSICA - ESTABELECIMENTO HÍPICO - ESCRITÓRIO, CONSULTÓRIO DE PROFISSIONAL LIBERAL (pessoa física) - SINDICATO OU ASSOCIAÇÃO DE PROFISSIONAL, EMPREGADO OU EMPREGADOR, PERTENCENTE A ATIVIDADE OUTRORA VINCULADA AO ex-IAPC - CONDOMÍNIO - CRECHE - ASSOCIAÇÕES DESPORTIVAS (exceto clubes de futebol profissional - FPAS 647 e 779) - ENTIDADES RECREATIVAS, CULTURAIS, DE ORIENTAÇÃO E FORMAÇÃO PROFISSIONAL E DE ASSISTÊNCIA SOCIAL - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código).|##EMPRESAS##|>|>|>
^|^|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ SESC|0032|1,5%
^|^|^|+ SEBRAE|0064|0,3%
^|^|^|##TOTAL##|##0099##|##4,5%##
^|^|##COOPERATIVAS##|>|>|>
^|^|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ SEBRAE|0064|0,3%
^|^|^|+ SESCOOP|4096|2,5%
^|^|^|##TOTAL##|##4163##|##5,5%##
574|ESTABELECIMENTO DE ENSINO - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código).|##EMPRESAS##|>|>|>
^|^|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ SESC|0032|1,5%
^|^|^|+ SEBRAE|0064|0,3%
^|^|^|##TOTAL##|##0099##|##4,5%##
^|^|##COOPERATIVAS##|>|>|>
^|^|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ SEBRAE|0064|0,3%
^|^|^|+ SESCOOP|4096|2,5%
^|^|^|##TOTAL##|##4163##|##5,5%##
582|ÓRGÃO DO PODER PÚBLICO (União, Estado, Distrito Federal e Município, inclusive suas respectivas Autarquias e as Fundações com personalidade jurídica de direito público.) - ORGANISMO OFICIAL BRASILEIRO E INTERNACIONAL do qual o Brasil seja membro efetivo e mantenha, no exterior, brasileiro civil que trabalhe para a união ainda que lá domiciliado e contratado - REPARTIÇÃO DIPLOMÁTICA BRASILEIRA sediada no exterior que contrata auxiliares locais - MISSÃO DIPLOMÁTICA OU REPARTIÇÃO CONSULAR de carreira estrangeira e órgão a ela subordinado no Brasil, ou a membro dessa missão ou repartição, observadas as exclusões legais (Decreto-Lei 2.253/1985) - ORDEM DOS ADVOGADOS DO BRASIL - CONSELHO DE FISCALIZAÇÃO DE PROFISSÃO REGULAMENTADA.<br /><br />Nota: Não se incluem no FPAS 582 as MISSÕES DIPLOMÁTICAS E OUTROS ORGANISMOS A ELAS EQUIPARADOS, INCLUSIVE SEUS MEMBROS, que sejam partícipes de acordo internacional de isenção reconhecido pelo Brasil, os quais deverão se enquadrar no FPAS 876.|||##0000##|##0,00%##
590|CARTÓRIO, TABELIONATO, oficializados ou não.|Remuneração dos segurados|##SALÁRIO EDUCAÇÃO##|##0001##|##2,5%##
^|Brasileiros contratados no Brasil e transferidos para prestarem serviços no exterior, conforme disposto no art. 11 da Lei 7.064/1982.<br /><br />Trabalhadores estrangeiros vinculados a previdência social do exterior e contratados para prestarem serviços no Brasil, desde que haja acordo internacional de previdência social entre ambos os países.|||##0000##|##0%##
604|PRODUTOR RURAL PESSOA FÍSICA, contribuinte individual (com recolhimento sobre a comercialização da produção rural) e segurado especial, nos termos da Lei 11.718/2008.<br /><br />PRODUTOR RURAL PESSOA JURÍDICA, inclusive na atividade de criação de pescado em cativeiro, em relação a todos os seus empregados (com recolhimento sobre a comercialização da produção rural).<br /><br />CONSORCIO SIMPLIFICADO DE PRODUTORES RURAIS.<br /><br />AGROINDÚSTRIA não relacionada no __caput__ do Decreto Lei 1.146/1970, relativamente aos segurados e envolvidos no processo de produção própria, setor rural, exceto as agroindústrias de piscicultura, carcinicultura, suinocultura, avicultura e florestamento e reflorestamento, nos termos da Lei 10.684/2003.<br /><br />SOCIEDADE COOPERATIVA DE PRODUÇÃO RURAL, relativamente em relação aos segurados contratados para a colheita da produção de seus cooperados.<br /><br />Exclui-se deste código a prestação de serviços a terceiros, nos termos da Lei 10.256/2001.|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|##TOTAL##|##0003##|##2,7%##
612|EMPRESA DE TRANSPORTE RODOVIÁRIO - EMPRESA DE TRANSPORTE DE VALORES - EMPRESA DE LOCAÇÃO DE VEÍCULO - EMPRESA DE DISTRIBUIÇÃO DE PETRÓLEO (exclusivamente em relação à folha de pagamento dos empregados envolvidos diretamente na atividade de transporte) - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código).|##EMPRESAS##|>|>|>
^|^|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ SEBRAE|0064|0,6%
^|^|^|+ SEST|1024|1,5%
^|^|^|+ SENAT|2048|1,0%
^|^|^|##TOTAL##|##3139##|##5,8%##
^|^|##COOPERATIVAS##|>|>|>
^|^|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ SEBRAE|0064|0,6%
^|^|^|+ SESCOOP|4096|2,5%
^|^|^|##TOTAL##|##4163##|##5,8%##
620|TOMADOR DE SERVIÇO DE TRANSPORTADOR RODOVIÁRIO AUTÔNOMO (contribuição previdenciária a cargo da empresa tomadora e contribuição descontada do transportador autônomo para o SEST e o SENAT).|Salário de contribuição previdenciária (20% do valor bruto do serviço prestado)|SEST|1024|1,5%
^|^|^|+ SENAT|2048|1,0%
^|^|^|##TOTAL##|##3072##|##2,5%##
639|ENTIDADE BENEFICENTE DE ASSISTÊNCIA SOCIAL, com isenção requerida e concedida pela Previdência Social, inclusive aquela transformada em entidade de fins econômicos na forma do art. 7° da Lei 9.131/1995, no período de pagamento parcial das contribuições patronais, nos termos do art. 13 da Lei 11.096/2005.|||##0000##|##0,00%##
647|ASSOCIAÇÃO DESPORTIVA QUE MANTÉM EQUIPE DE FUTEBOL PROFISSIONAL, em qualquer modalidade desportiva, e CLUBE DE FUTEBOL PROFISSIONAL - contribuição descontada dos empregados, atletas ou não, e as destinadas a outras entidades ou fundos.|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ SESC|0032|1,5%
^|^|^|+ SEBRAE|0064|0,3%
^|^|^|##TOTAL##|##0099##|##4,5%##
655|EMPRESA DE TRABALHO TEMPORÁRIO (Lei 6.019/1974) - contribuição sobre a remuneração do trabalhador temporário.|Remuneração dos segurados|##SALÁRIO EDUCAÇÃO##|##0001##|##2,50%##
680|ÓRGÃO GESTOR DE MÃO-DE-OBRA, com relação a contribuição sobre a remuneração de trabalhador avulso vinculado à Diretoria de Portos e Costas.|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ DPC|0128|2,5%
^|^|^|##TOTAL##|##0131##|##5,2%##
736|BANCO COMERCIAL - BANCO DE INVESTIMENTO - BANCO DE DESENVOLVIMENTO - CAIXA ECONÔMICA - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO - SOCIEDADE DE CRÉDITO IMOBILIÁRIO - SOCIEDADE CORRETORA - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS - EMPRESA DE ARRENDAMENTO MERCANTIL - EMPRESA DE SEGURO PRIVADO E DE CAPITALIZAÇÃO (inclusive seguro saúde) - AGENTE AUTÔNOMO DE SEGURO PRIVADO E DE CRÉDITO - ENTIDADE DE PREVIDÊNCIA PRIVADA (aberta e fechada).|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|##TOTAL##|##0003##|##2,7%##
744|EMPRESA ADQUIRENTE, CONSUMIDORA, CONSIGNATÁRIA OU COOPERATIVA que adquire produção rural de produtor pessoa física.<br /><br />PRODUTOR RURAL PESSOA FÍSICA (contribuinte individual e segurado especial), quando venderem seus produtos a outro produtor rural pessoa física, consumidor pessoa física, destinatário incerto ou não comprovar formalmente o destino da produção ou a adquirente domiciliado no exterior.<br /><br />PRODUTOR RURAL PESSOA JURÍDICA E AGROINDÚSTRIA (exceto as agroindústrias de piscicultura, carcinicultura, suinocultura, avicultura, florestamento e reflorestamento, nos termos da Lei 10.684/2003).|##PESSOA FÍSICA##|>|>|>
^|^|Receita bruta da produção|PREVIDÊNCIA SOCIAL|0512|1,2%
^|^|^|+ GILRAT|^|0,1%
^|^|^|+ SENAR|^|0,2%
^|^|^|##TOTAL##|^|##1,5%##
^|^|##PESSOA JURÍDICA E AGROINDÚSTRIA##|>|>|>
^|^|Receita bruta da produção|PREVIDÊNCIA SOCIAL|0512|1,7%
^|^|^|+ GILRAT|^|0,1%
^|^|^|+ SENAR|^|0,25%
^|^|^|##TOTAL##|^|##2,05%##
779|ASSOCIAÇÃO DESPORTIVA QUE MANTÉM EQUIPE DE FUTEBOL PROFISSIONAL - contribuição de 5% da receita bruta, decorrente de espetáculo desportivo de que participe em todo território nacional em qualquer modalidade, inclusive jogos internacionais, a ser recolhida pela ENTIDADE PROMOTORA DO EVENTO (federação ou confederação), e de QUALQUER FORMA DE PATROCÍNIO, LICENCIAMENTO DE USO DE MARCAS E SÍMBOLOS, PUBLICIDADE, PROPAGANDA E TRANSMISSÃO DE ESPETÁCULOS DESPORTIVOS, a ser recolhida pela empresa ou entidade patrocinadora.|||##0000##|##0%##
787|SINDICATO, FEDERAÇÃO E CONFEDERAÇÃO PATRONAL RURAL.<br /><br />ATIVIDADE COOPERATIVISTA RURAL (cooperativa rural) não relacionada no Decreto-Lei 1.146/1970 (com ou sem produção própria), somente em relação aos empregados que atuem diretamente na produção primária de origem animal ou vegetal.<br /><br />AGROINDÚSTRIAS de piscicultura, carcinicultura, suinocultura, avicultura, florestamento e reflorestamento, nos termos da Lei 10.684/2003, somente em relação aos empregados que atuem diretamente na produção primária de origem animal ou vegetal.<br /><br />PRESTADOR DE MÃO-DE-OBRA RURAL legalmente constituído como pessoa jurídica.<br /><br />PRODUTOR RURAL PESSOA JURÍDICA na prestação de serviços rurais (atividade não autônoma).<br /><br />AGROINDÚSTRIA (nos termos da Lei 10.256/2001) na prestação de serviços rurais ou agroindustriais a terceiros.<br /><br />PRODUTOR RURAL PESSOA JURÍDICA que exerce outra atividade econômica autônoma, somente em relação aos empregados que atuem diretamente na produção primária de origem animal ou vegetal.<br /><br />PRODUTOR RURAL PESSOA FÍSICA, contribuinte individual (empregador) e PRODUTOR RURAL PESSOA JURÍDICA, com recolhimento sobre a folha de salários.<br /><br />SOCIEDADE COOPERATIVA DE CRÉDITO, conforme art. 10 da Lei 11.524/2007.|##TODAS AS ATIVIDADES, EXCETO COOPERATIVISTA##|>|>|>
^|^|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ SENAR|0512|2,5%
^|^|^|##TOTAL##|##0515##|##5,2%##
^|^|##COOPERATIVAS##|>|>|>
^|^|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ SESCOOP|4096|2,5%
^|^|^|##TOTAL##|##4099##|##5,2%##
795|ESTABELECIMENTOS RURAL E INDUSTRIAL DA SOCIEDADE COOPERATIVA relacionada no art. 2°, __caput__, do Decreto-Lei 1.146/1970.|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|2,7%
^|^|^|+ SESCOOP|4096|2,5%
^|^|^|##TOTAL##|##4099##|##7,7%##
825|AGROINDÚSTRIA relacionada no __caput__ do art. 2º do Decreto-Lei 1.146/1970, a partir da competência 11/2001.<br /><br />TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à agroindústria relacionada no __caput__ do art. 2º do Decreto-Lei 1.146/1970.<br /><br />Exclui-se deste código a prestação de serviços a terceiros, nos termos da Lei 10.256/2001.|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|2,7%
^|^|^|##TOTAL##|##0003##|##5,2%##
833|SETOR INDUSTRIAL DA AGROINDÚSTRIA não relacionada no __caput__ do art. 2º do Decreto-Lei 1.146/1970, a partir da competência 11/2001, exceto as agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura, inclusive sob a forma de cooperativa.<br /><br />SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando aplicável a substituição, na forma do art. 22-A da Lei 8.212/1991.<br /><br />TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à agroindústria não relacionada no __caput__ do art. 2º do Decreto-Lei 1.146/1970.<br /><br />Exclui-se deste código a prestação de serviços a terceiros.|##EMPRESAS##|>|>|>
^|^|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ SENAI##*##|0004|1,0%
^|^|^|+ SESI##*##|0008|1,5%
^|^|^|+ SEBRAE|0064|0,6%
^|^|^|##TOTAL##|##0079##|##5,8%##
^|^|##COOPERATIVAS##|>|>|>
^|^|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ SEBRAE|0064|0,6%
^|^|^|+ SESCOOP|4096|2,5%
^|^|^|##TOTAL##|##4163##|##5,8%##
868|EMPREGADOR DOMÉSTICO - instituído para possibilitar o depósito do FGTS.|||##0000##|##0%##
876|MISSÕES DIPLOMÁTICAS E OUTROS ORGANISMOS A ELAS EQUIPARADOS, INCLUSIVE SEUS MEMBROS, que sejam partícipes de acordo internacional de isenção reconhecido pelo Brasil.|||##0000##|##0%##
===
##* Havendo recolhimento direto ao SESI e/ou ao SENAI por meio de convênio, o código da entidade para o qual é efetuado o recolhimento direto deve ser deduzido do código a ser informado no campo do Código de Terceiros, conforme demonstrado no quadro abaixo:##
>##Situação do contribuinte##  | ##Combinação dos códigos de Terceiros## | ##Código de Terceiros## | ##Alíquota##
>Com convênio SESI + SENAI | 0001+0002+0064                      |         0067        |   3,3%
>Com convênio SESI         | 0001+0002+0004+0064                 |         0071        |   4,3%
>Com convênio SENAI        | 0001+0002+0008+0064                 |         0075        |   4,8%
>Sem convênio              | 0001+0002+0004+0008+0064            |         0079        |   5,8%
##NOTAS:##<br /><br />
1 - Cabe à pessoa jurídica, para fins de recolhimento da contribuição devida a terceiros, classificar a atividade por ela desenvolvida e atribuir-lhe o código FPAS correspondente. A classificação deverá ser de acordo com o Quadro de Atividades e Profissões a que se refere o art. 577 do Decreto-Lei 5.452/1943 (CLT).<br /><br />
2 - Na hipótese de a pessoa jurídica desenvolver mais de uma atividade, prevalecerá, para fins de classificação, a atividade preponderante, assim considerada a que representa objeto social da empresa, ou a unidade de produto, para qual convergem as demais em regime de conexão funcional (CLT, art. 581, § 2º). Se nenhuma das atividades desenvolvidas pela pessoa jurídica se caracterizar como preponderante, classificar-se-á cada uma delas no seu respectivo código FPAS.<br /><br />
3 - Para fins de recolhimento da contribuição devida a terceiros, a associação desportiva e a sociedade empresária que mantém equipe de futebol profissional, observarão as seguintes regras:
3.1 - A contribuição incide sobre o total da remuneração paga, devida ou creditada a empregados (atletas e não atletas) e trabalhadores avulsos;
3.2 - O cálculo da contribuição é feito mediante aplicação das alíquotas definidas para os códigos FPAS 647 e Terceiros 0099.<br /><br />
4 - Sobre a remuneração dos trabalhadores temporários, contribuirá mediante aplicação das alíquotas previstas na combinação entre os códigos FPAS 655 com código de Terceiros 0001. Sobre a remuneração dos trabalhadores permanentes, contribuirá mediante aplicação das alíquotas previstas na combinação entre os códigos FPAS 515 com código de Terceiros 0115.<br /><br />
5 - As microempresas e empresas de pequeno porte optante pelo SIMPLES são sujeitas, na condição de sub-rogadas, ao recolhimento das contribuições incidentes sobre os produtos rurais adquiridos de produtor rural pessoa física - contribuinte individual e segurado especial, independente da aquisição ter sido realizada diretamente com o produtor ou com intermediário pessoa física. Neste caso, o adquirente assume a responsabilidade pelo recolhimento das contribuições devidas à Previdência Social e ao SENAR, sendo considerada a alíquota de 2,1% para INSS e de 0,2% para o SENAR.<br /><br />
6 - Todas as pessoas jurídicas, inclusive ME, EPP e MEI, são obrigadas a arrecadar e recolher, mediante desconto ou retenção, as contribuições devidas pelo segurado, destinadas ao SEST e ao SENAT, no caso de contratação de contribuinte individual transportador rodoviário autônomo (registro no código de categoria 711 e 712 - Tabela 01).<br /><br />
7 - Durante os efeitos das alterações trazidas pela Medida Provisória 932/2020, as alíquotas do SENAI, SESI, SENAC, SESC, SEST, SENAT, SENAR e SESCOOP ficam reduzidas para:
SENAI - 0,5%;
SESI - 0,75%;
SENAC - 0,5%;
SESC - 0,75%;
SEST - 0,75%;
SENAT - 0,5%;
SENAR - 1,25% sobre a folha de pagamento, 0,125% sobre a receita bruta da produção de pessoa jurídica e agroindústria, e 0,1% sobre a receita bruta da produção de pessoa física;
SESCOOP - 1,25%.
