Agente Causador / Situação Geradora de Doença Profissional
CÓDIGO|DESCRIÇÃO
200040600|Contato com objeto ou substância a temperatura muito baixa.<br />Aplica-se somente a casos, sem impacto, em que a lesão consiste em queimadura, geladura, etc., resultante queimadura, geladura, etc., resultante de contato com objetos, ar, gases, vapores ou líquidos quentes ou frios.<br />Não se aplica a casos em que a lesão foi provocada pelas características tóxicas ou cáusticas de produtos químicos ou a queimadura por descarga elétrica.
200044300|Exposição à temperatura ambiente elevada.<br />Não se aplica aos casos de lesão proveniente de exposição à radiação solar ou outras radiações. Também não se aplica a casos de queimadura ou geladura provocada por contato com objeto ou substância a temperaturas extremas ou queimadura devida à energia elétrica.
200044600|Exposição à temperatura ambiente baixa.<br />Não se aplica aos casos de lesão proveniente de exposição à radiação solar ou outras radiações. Também não se aplica a casos de queimadura ou geladura provocada por contato com objeto ou substância a temperaturas extremas ou queimadura devida à energia elétrica.
200048200|Inalação de substância cáustica, tóxica ou nociva.<br />Aplica-se somente a casos, sem impacto, em que a lesão foi provocada por inalação, absorção ou ingestão de substâncias nocivas. Geralmente refere-se a intoxicações, envenenamentos, queimaduras, irritações ou reações alérgicas por produtos químicos.
200048400|Ingestão de substancia cáustica, tóxica ou nociva.<br />Aplica-se somente a casos, sem impacto, em que a lesão foi provocada por inalação, absorção ou ingestão de substâncias nocivas. Geralmente refere-se a intoxicações, envenenamentos, queimaduras, irritações ou reações alérgicas por produtos químicos.
200048600|Absorção (por contato) de substância cáustica, tóxica ou nociva.<br />Aplica-se somente a casos, sem impacto, em que a lesão foi provocada por inalação, absorção ou ingestão de substâncias nocivas. Geralmente refere-se a intoxicações, envenenamentos, queimaduras, irritações ou reações alérgicas por produtos químicos.
200048900|Inalação, ingestão e absorção, NIC.<br />Aplica-se somente a casos, sem impacto, em que a lesão foi provocada por inalação, absorção ou ingestão de substâncias nocivas. Geralmente refere-se a intoxicações, envenenamentos, queimaduras, irritações ou reações alérgicas por produtos químicos.
200052000|Imersão.<br />Aplica-se aos acidentes que têm por consequência o afogamento.
200056000|Exposição à radiação não ionizante.<br />Aplica-se a casos em que as lesões são provocadas por exposição à radiação solar ou outras radiações não ionizantes (por exemplo, ultravioleta e infravermelho).
200060000|Exposição à radiação ionizante.
200064000|Exposição ao ruído.
200068000|Exposição à vibração.
200072300|Exposição à pressão ambiente elevada.
200072600|Exposição à pressão ambiente baixa.
200076200|Exposição à poluição da água.
200076400|Exposição à poluição do ar.
200076600|Exposição à poluição do solo.
200076900|Exposição à poluição, NIC.
200080200|Ataque de ser vivo por mordedura, picada, chifrada, coice, etc.<br />Não se aplica no caso de haver peçonha ou transmissão de doença.
200080400|Ataque de ser vivo com peçonha.
200080600|Ataque de ser vivo com transmissão de doença.
200080900|Ataque de ser vivo (inclusive do homem), NIC.
200080901|Contato com pessoas doentes ou material infectocontagiante - agentes biológicos.
209000000|Tipo, NIC.
209500000|Tipo inexistente.
