Natureza das Rubricas da Folha de Pagamento
Cód.|Nome da Natureza da Rubrica|Descrição da Natureza da Rubrica|Início|Término
1211|Gratificações|Verba não estabelecida em acordo ou convenção coletiva, mas paga para o empregado em decorrência de ajuste entre as partes ou por liberalidade do empregador, como por exemplo produtividade, assiduidade, etc.|01/01/2014|-
1212|Gratificações ou outras verbas de natureza permanente|Órgão Público - Parcelas remuneratórias reconhecidamente inerentes às funções do cargo efetivo, cujo valor integra a remuneração do cargo efetivo|01/01/2014|-
1213|Gratificações ou outras verbas de natureza transitória|Órgão Público - Parcelas remuneratórias vinculadas à atividade cujo recebimento dependa de avaliação de desempenho ou determinadas condições|01/01/2014|-
1214|Adicional de penosidade|Adicional pela realização de atividade árdua que exija do trabalhador esforço, atenção ou vigilância acima do comum|01/01/2014|-
1215|Adicional de unidocência|Adicional de Unidocência para Professores de 1ª a 4ª série|01/01/2014|-
1216|Adicional de localidade|Adicional pela realização de atividade em localidade transfronteiriços|01/09/2020|-
1217|Gratificação de curso/concurso|Verba de natureza remuneratória por atividade exercida em curso/concurso|01/09/2020|-
1225|Quebra de caixa|Valor destinado a cobrir os riscos assumidos por quem trabalha com manuseio de valores, para compensar eventuais descontos ou diferenças de numerários|01/01/2014|-
1230|Remuneração do dirigente sindical|Remuneração paga ao trabalhador afastado, durante o exercício da atividade sindical|01/01/2014|-
1299|Outros adicionais|Valores relativos a outros adicionais não previstos nos demais itens|01/01/2014|-
1300|PLR - Participação em Lucros ou Resultados|Valor correspondente a participação em lucros ou resultados da empresa, de acordo com lei específica|01/01/2014|-
1350|Bolsa de estudo - estagiário|Valor devido ao estagiário em atividades práticas de complementação do currículo escolar, inclusive os valores pagos a título de recesso remunerado - Lei nº 11.788 de 25/09/2008|01/01/2014|-
1351|Bolsa de estudo - médico residente|Bolsa de estudo ao médico residente|01/01/2014|-
1352|Bolsa de estudo ou pesquisa|Remuneração a professores, pesquisadores e demais profissionais com a finalidade de estudos ou pesquisa, exceto pagamentos a estagiário e médico-residente|01/01/2014|-
1401|Abono|Qualquer abono concedido de forma espontânea ou em virtude de acordo ou convenção coletiva, norma, etc.|01/01/2014|-
1402|Abono PIS / PASEP|Abono e/ou rendimento do PIS / PASEP repassado pelo empregador ou órgão público|01/01/2014|-
1403|Abono legal|As importâncias recebidas a título de ganhos eventuais e os abonos expressamente desvinculados do salário, por força da lei|01/01/2014|-
1404|Auxílio babá|Valor relativo a reembolso de despesas com babá, limitado ao menor salário de contribuição mensal e condicionado à comprovação do registro na carteira de trabalho e previdência social da empregada, do pagamento da remuneração e do recolhimento da contribuição previdenciária, pago em conformidade com a legislação trabalhista, observado o limite máximo de 6 (seis) anos de idade da criança. Caso haja previsão em acordo coletivo da categoria, este limite de idade poderá ser maior.|01/01/2014|-
1405|Assistência médica|Valor pago diretamente ao trabalhador a título de assistência médica ou odontológica, inclusive o reembolso de despesas com medicamentos, óculos, aparelhos ortopédicos, despesas médico-hospitalares e outras similares|01/01/2014|-
1406|Auxílio-creche|O reembolso creche pago em conformidade com a legislação trabalhista, observado o limite máximo de 6 (seis) anos de idade da criança, quando devidamente comprovadas as despesas realizadas. Caso haja previsão em acordo coletivo da categoria, este limite de idade poderá ser maior.|01/01/2014|-
1407|Auxílio-educação|Valor relativo a plano educacional, ou bolsa de estudo, que vise à educação básica de trabalhadores e seus dependentes e, desde que vinculada às atividades desenvolvidas pela empresa, à educação profissional e tecnológica de trabalhadores, nos termos da Lei nº 9.394, de 20 de dezembro de 1996, e: 1) não seja utilizado em substituição de parcela salarial; 2) o valor mensal do plano educacional ou bolsa de estudo, considerado individualmente, não ultrapasse 5% (cinco por cento) da remuneração do segurado a que se destina ou o valor correspondente a uma vez e meia o valor do limite mínimo mensal do salário de contribuição, o que for maior|01/01/2014|-
1409|Salário-família|Valor do salário-família, conforme limite legal, em virtude do número de filhos menores de 14 anos, ou inválidos de qualquer idade|01/01/2014|-
1410|Auxílio - Locais de difícil acesso|Valor correspondente a transporte, habitação e alimentação fornecido ao trabalhador contratado para prestar serviço em localidade distante da sua residência, em canteiro de obras ou local que, por força da atividade, exija deslocamento e estada|01/01/2014|-
1411|Auxílio-natalidade|Valor relativo ao nascimento do filho de servidor público, previsto em lei|01/09/2020|-
1412|Abono permanência|Valor relativo ao abono de permanência, de acordo com a CF/1988|01/09/2020|-
1601|Ajuda de custo - aeronauta|Adicional mensal recebidos pelo aeronauta nos termos da lei nº 5.929, de 30 de outubro de 1973|01/01/2014|-
1602|Ajuda de custo de transferência|Ajuda de custo em parcela única, em razão de transferência de local de trabalho|01/01/2014|-
1603|Ajuda de custo|Ajuda de custo paga ao trabalhador|01/05/2018|-
1604|Ajuda de custo - acima de 50% da remuneração mensal|Ajuda de custo paga ao trabalhador, superior a 50% da sua remuneração mensal|01/05/2018|31/03/2019
1619|Ajuda Compensatória - MP 936|Ajuda compensatória paga pelo empregador ao empregado durante período de suspensão do contrato de trabalho ou redução proporcional de salário e jornada|01/04/2020|-
1620|Ressarcimento de despesas pelo uso de veículo próprio|Ressarcimento de despesas ao trabalhador, pela utilização de veículo de sua propriedade|01/01/2014|-
1621|Ressarcimento de despesas de viagem, exceto despesas com veículos|Ressarcimento de despesas pagas com recursos do trabalhador em viagens a trabalho|01/01/2014|-
1623|Ressarcimento de provisão|Ressarcimento de desconto efetuado em recibos de férias relativo a provisão de contribuição previdenciária|01/01/2014|-
1629|Ressarcimento de outras despesas|Ressarcimento de outras despesas pagas pelo trabalhador, não previstas nos demais itens|01/01/2014|-
1650|Diárias de viagem|Diárias de viagem ao trabalhador|01/05/2018|-
1651|Diárias de viagem - até 50% do salário|Diárias de viagem ao trabalhador, desde que não exceda a 50% do seu salário-base mensal|01/01/2014|30/04/2018
1652|Diárias de viagem - acima de 50% do salário|Diárias de viagem superior a 50% do salário-base mensal|01/01/2014|30/04/2018
1800|Alimentação concedida em pecúnia|Alimentação concedida sob a forma de pecúnia|01/09/2020|-
1801|Alimentação|Auxílio-alimentação|01/01/2014|31/08/2020
1802|Etapas (marítimos)|Auxílio-alimentação ao trabalhador marítimo|01/01/2014|-
1805|Moradia|Auxílio-moradia|01/01/2014|-
1806|Alimentação em ticket ou cartão, vinculada ao PAT|Alimentação concedida sob a forma de ticket ou cartão, por empresa vinculada ao PAT|01/09/2020|-
1807|Alimentação em ticket ou cartão, não vinculada ao PAT|Alimentação concedida sob a forma de ticket ou cartão, por empresa não vinculada ao PAT|01/09/2020|-
1808|Cesta básica ou refeição, vinculada ao PAT|Alimentação concedida sob a forma de cesta básica ou refeição, por empresa vinculada ao PAT|01/09/2020|-
1809|Cesta básica ou refeição, não vinculada ao PAT|Alimentação concedida sob a forma de cesta básica ou refeição, por empresa não vinculada ao PAT|01/09/2020|-
1810|Transporte|Auxílio-transporte|01/01/2014|-
1899|Outros auxílios|Valores relativos a outros auxílios não previstos nos demais itens|01/09/2020|-
2501|Prêmios|Liberalidades concedidas pelo empregador em forma de bens, serviços ou valor em dinheiro a empregado ou a grupo de empregados, em razão de desempenho superior ao ordinariamente esperado no exercício de suas atividades|01/01/2014|-
2502|Liberalidades concedidas em mais de duas parcelas anuais|Liberalidades concedidas pelo empregador em forma de bens, serviços ou valor em dinheiro a empregado ou a grupo de empregados, em razão de desempenho superior ao ordinariamente esperado no exercício de suas atividades, em mais de duas parcelas anuais|01/05/2018|31/03/2019
2510|Direitos autorais e intelectuais|Valor correspondente a participação em produção científica, intelectual ou artística|01/01/2014|-
2801|Quarentena remunerada|Valor equivalente a remuneração se em exercício estivesse, devida ao trabalhador desligado, em período de quarentena|01/01/2014|-
2901|Empréstimos|Empréstimos ao trabalhador para posterior desconto|01/01/2014|-
2902|Vestuário e equipamentos|Valor correspondente a vestuários, equipamentos e outros acessórios fornecidos ao trabalhador e utilizados no local de trabalho para prestação dos respectivos serviços|01/01/2014|-
2920|Reembolsos diversos|Valor relativo a reembolsos diversos referentes a descontos indevidos efetuados em competências anteriores|01/01/2014|31/08/2020
2930|Insuficiência de saldo|Valor lançado em folha de pagamento para cobertura de excesso de descontos em relação a vencimentos, tanto o valor do vencimento no mês em que houver a insuficiência de saldo, como o respectivo desconto no(s) mês(es) posteriores|01/01/2014|-
2999|Arredondamentos|Valor lançado em folha de pagamento, não superior a 99 centavos, relativo a arrendamentos|01/01/2014|-
3501|Remuneração por prestação de serviços|Remuneração (inclusive adiantamentos) a contribuintes individuais, inclusive honorários, em trabalhos de natureza eventual e sem vínculo trabalhista|01/01/2014|-
3505|Retiradas (pró-labore) de diretores empregados|Pró-labore ou retirada (remuneração) a diretores empregados (CLT)|01/01/2014|-
3506|Retiradas (pró-labore) de diretores não empregados|Pró-labore ou retirada (remuneração) a diretores não empregados|01/01/2014|-
3508|Retiradas (pró-labore) de proprietários ou sócios|Pró-labore ou retirada (remuneração) a proprietários ou sócios da empresa|01/01/2014|-
3509|Honorários a conselheiros|Valor correspondente a honorários pagos a membros de conselho|01/01/2014|-
3510|Gratificação (jeton)|Valor correspondente a gratificação (jeton) por comparecimento a sessões ou reuniões|01/09/2020|-
3511|Gratificação eleitoral|Valor correspondente ao exercício da atividade pelo juiz eleitoral|01/09/2020|-
3520|Remuneração de cooperado|Remuneração a cooperado vinculado a cooperativa de trabalho|01/01/2014|-
3525|Côngruas, prebendas e afins|Valores pagos a ministros de confissão religiosa e que independem de natureza e da quantidade do trabalho executado|01/05/2018|-
4010|Complementação salarial de auxílio-doença|Complementação salarial de auxílio-doença ao trabalhador afastado por acidente de trabalho ou por doença|01/01/2014|-
4011|Complemento de salário-mínimo – RPPS|Valor correspondente à diferença entre o salário-mínimo e o valor do vencimento do cargo efetivo pago a servidor público vinculado a Regime Próprio de Previdência Social (RPPS)|01/09/2020|-
4050|Salário-maternidade|Remuneração mensal da trabalhadora empregada durante a licença maternidade, quando paga pelo contratante ou órgão público|01/01/2014|-
4051|Salário-maternidade - 13° salário|Valor correspondente ao 13° salário pago pelo contratante ou órgão público, no período de licença maternidade|01/01/2014|-
5001|13º salário|Valor relativo ao 13° salário de trabalhador, inclusive as médias de 13° salário (horas extras, adicional noturno, etc.), exceto se relativo à primeira parcela ou se pago em rescisão contratual – nessa opção deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de 13° salário|01/01/2014|-
5005|13° salário complementar|Valor do 13° salário complementar relativo a diferenças apuradas não consideradas na folha de fechamento do 13° salário|01/01/2014|-
5501|Adiantamento de salário|Valor relativo a adiantamento, antecipação ou pagamento parcial de folha de salários|01/01/2014|-
5504|13º salário - Adiantamento|Valor relativo a adiantamento do 13° salário|01/01/2014|-
5510|Adiantamento de benefícios previdenciários|Valor relativo a adiantamento de benefícios a serem pagos pela Previdência Social Oficial|01/01/2014|-
6000|Saldo de salários na rescisão contratual|Valor correspondente aos dias trabalhados no mês da rescisão contratual|01/01/2014|-
6001|13º salário relativo ao aviso prévio indenizado|Valor correspondente ao 13° salário incidente sobre o aviso prévio indenizado|01/01/2014|-
6002|13° salário proporcional na rescisão|Valor correspondente ao 13° salário proporcional pago na rescisão do contrato de trabalho, exceto o pago sobre o aviso prévio indenizado|01/01/2014|-
6003|Indenização compensatória do aviso prévio|Valor da maior remuneração do trabalhador, correspondente ao número de dias relativo ao aviso prévio, calculado de acordo com o tempo de serviço do empregado|01/01/2014|-
6004|Férias - o dobro na rescisão|Valor correspondente a remuneração a que faz jus a época da rescisão contratual, correspondente a férias não concedidas no prazo legal, inclusive o adicional constitucional|01/01/2014|-
6006|Férias proporcionais|Valor correspondente a 1/12 avos da remuneração a que faz jus a época da rescisão contratual, fração superior a 14 dias por mês de trabalho e a projeção do aviso prévio indenizado, inclusive o adicional constitucional|01/01/2014|-
6007|Férias vencidas na rescisão|Valor correspondente a remuneração a que faz jus a época da rescisão contratual, correspondente a férias vencidas, mas dentro do prazo concessivo, inclusive o adicional constitucional|01/01/2014|-
6101|Indenização compensatória - multa rescisória 20 ou 40% (CF/88)|Valor correspondente à indenização por demissão sem justa causa, por culpa recíproca ou força maior (ambas reconhecidas pela Justiça do Trabalho) ou por acordo entre empregado e empregador, quando da rescisão do contrato de trabalho; ou correspondente à antecipação da multa rescisória do FGTS paga ao empregado com contrato Verde e Amarelo|01/01/2014|-
6102|Indenização do art. 9º lei nº 7.238/84|Valor correspondente a indenização quando a dispensa ocorrer sem justa causa dentro dos trinta dias que antecedem a data base|01/01/2014|-
6103|Indenização do art. 14 da lei nº 5.889, de 8 de junho de 1973|Valor correspondente a indenização do tempo de serviço ao safrista, importância correspondente a 1/12 (um doze avos) do salário mensal, por mês de serviço ou fração superior a 14 (quatorze) dias|01/01/2014|-
6104|Indenização do art. 479 da CLT|Valor correspondente a metade da remuneração devida ate o termino do contrato a prazo determinado em caso de rescisão antecipada|01/01/2014|-
6105|Indenização recebida a título de incentivo a demissão|Valor correspondente a incentivo a demissão em Programas de Demissão Voluntária - PDV|01/01/2014|-
6106|Multa do art. 477 da CLT|Valor devido ao trabalhador por atraso no pagamento de rescisão do contrato de trabalho (art. 477 da CLT, § 8º)|01/01/2014|-
6107|Indenização por quebra de estabilidade|Valor correspondente a indenização por desligamento durante período de estabilidade legal, ou estabilidade derivada de acordo ou convenção coletiva de trabalho|01/01/2014|-
6119|Indenização rescisória - MP 936|Indenização pela dispensa sem justa causa que ocorrer durante o período de garantia provisória no emprego de que trata o art. 10 da MP 936/2020|01/04/2020|-
6129|Outras multas ou indenizações|Valor correspondente a outras multas ou indenizações previstas em leis ou em Instrumentos Coletivos de Trabalho, exceto as previstas nos demais itens|01/01/2014|-
6901|Desconto do aviso prévio|Valor descontado do trabalhador que tenha pedido demissão e não cumpriu aviso prévio, total ou parcialmente|01/01/2014|-
6904|Multa prevista no art. 480 da CLT|Valor descontado do empregado pela rescisão antecipada, por iniciativa do empregado, do contrato de trabalho a termo|01/01/2014|-
7001|Proventos|Valor dos proventos de Aposentadoria a servidor público|01/01/2014|-
7002|Proventos - Pensão por morte Civil|Valor dos proventos por morte a beneficiário de servidor público|01/01/2014|-
7003|Proventos - Reserva|Valor dos proventos a militar da reserva remunerada|01/01/2014|-
7004|Proventos - Reforma|Valor dos proventos a militar reformado|01/01/2014|-
7005|Pensão Militar|Valor da pensão a beneficiário de militar|01/01/2014|-
7006|Auxílio-reclusão|Valor de auxílio-reclusão para o servidor público de baixa renda|01/09/2020|-
7007|Pensões especiais|Valor das pensões de caráter especial diferentes de pensão por morte|01/09/2020|-
7008|Complementação de aposentadoria/ pensão|Valor relativo à complementação de aposentadoria/pensão vinculada ao Regime Geral de Previdência Social (RGPS)|01/09/2020|-
9200|Desconto de Adiantamentos|Valor relativo a descontos a título de adiantamentos em geral, como de salários e outros, exceto a 1ª parcela do 13° salário|01/01/2014|-
9201|Contribuição Previdenciária|Desconto a título de contribuição previdenciária|01/01/2014|-
9202|Contribuição militar|Desconto relativo à seguridade do militar e seus dependentes|01/09/2020|-
9203|Imposto de renda retido na fonte|Desconto a título de imposto de renda retido na fonte - IRRF|01/01/2014|-
9205|Provisão de contribuição previdenciária|Desconto efetuado em recibos de férias relativo a provisão de contribuição previdenciária|01/01/2014|-
9207|Faltas|Desconto decorrente de ausência de trabalho durante todo o dia em razão de, por exemplo, falta injustificada, suspensão disciplinar, greve|01/09/2020|-
9208|Atrasos|Desconto decorrente de ausência de trabalho em razão de, por exemplo, atrasos no início da jornada de trabalho ou de saída antecipada do trabalhador|01/09/2020|-
9209|Faltas ou atrasos|Desconto correspondente a faltas, atrasos no início da jornada de trabalho ou à saída antecipada do trabalhador|01/01/2014|31/08/2020
9210|DSR s/faltas e atrasos|Desconto correspondente ao Descanso Semanal Remunerado - DSR, calculado sobre faltas e atrasos do trabalhador|01/01/2014|31/08/2020
9211|DSR sobre faltas|Desconto correspondente ao Descanso Semanal Remunerado - DSR, calculado sobre faltas do trabalhador|01/09/2020|-
9212|DSR sobre atrasos|Desconto correspondente ao Descanso Semanal Remunerado - DSR, calculado sobre atrasos do trabalhador|01/09/2020|-
9213|Pensão alimentícia|Desconto correspondente a pensão alimentícia sobre o salário mensal, 13° salário, PLR e férias|01/01/2014|-
9214|13° salário - desconto de adiantamento|Desconto de antecipação do 13° salário|01/01/2014|-
9216|Desconto de vale-transporte|Desconto do vale-transporte referente a participação do trabalhador no custo ou em virtude de concessão do benefício em valor maior|01/01/2014|-
9217|Contribuição a Outras Entidades e Fundos|Desconto relativo a contribuições destinadas a outras entidades e fundos (Terceiros), como por exemplo, Sest, Senat, etc., devidas por algumas categorias de contribuintes individuais|01/01/2014|-
9218|Retenções judiciais|Desconto relativo a retenções de verbas devidas a trabalhadores por ordem judicial, exceto pensão alimentícia|01/01/2014|-
9219|Desconto de assistência médica ou odontológica|Desconto referente a participação do trabalhador no custo de assistência médica ou odontológica, ou em virtude de concessão do benefício em valor maior|01/01/2014|-
9220|Alimentação - desconto|Desconto referente a participação do trabalhador no custo ou em virtude de concessão do benefício em valor maior|01/01/2014|31/08/2020
9221|Desconto de férias|Valor correspondente a remuneração (dias) de férias do mês corrente pago no mês anterior ou adiantamento de férias|01/01/2014|-
9222|Desconto de outros impostos e contribuições|Desconto de outros impostos, taxas e contribuições, exceto Imposto de Renda Retido na Fonte, contribuição previdenciária e contribuições destinadas a outras entidades e fundos (Terceiros)|01/01/2014|-
9223|Previdência complementar - parte do empregado|Desconto referente a participação do trabalhador no custo ou em virtude de concessão do benefício em valor maior|01/01/2014|-
9224|FAPI - parte do empregado|Desconto referente a participação do trabalhador no custo de Fundo de Aposentadoria Programada Individual - FAPI, ou em virtude de concessão do benefício em valor maior|01/01/2014|-
9225|Previdência complementar - parte do servidor|Desconto referente a participação do trabalhador no custeio de Plano de Previdência Complementar do Servidor Público|01/01/2014|-
9226|Desconto de férias - abono|Desconto correspondente ao abono de férias pago no mês anterior ou adiantamento de férias|01/01/2014|-
9230|Contribuição Sindical Laboral|Valor correspondente ao desconto da contribuição laboral correspondente a um dia de trabalho a título de contribuição sindical |01/01/2014|-
9231|Contribuição Sindical - Associativa|Valor correspondente ao desconto referente a mensalidade sindical do trabalhador|01/01/2014|-
9232|Contribuição Sindical - Assistencial|Valor correspondente ao desconto da contribuição destinada ao custeio das atividades assistenciais do sindicato|01/01/2014|-
9233|Contribuição sindical - Confederativa|Valor correspondente ao desconto da contribuição destinada ao custeio do sistema confederativo|01/01/2014|-
9240|Alimentação concedida em pecúnia - desconto|Desconto referente à alimentação concedida sob a forma de pecúnia|01/09/2020|-
9241|Alimentação em ticket ou cartão, vinculada ao PAT – desconto|Desconto referente à participação do trabalhador no custo de alimentação concedida sob a forma de ticket ou cartão, por empresa vinculada ao PAT|01/09/2020|-
9242|Alimentação em ticket ou cartão, não vinculada ao PAT - desconto|Desconto referente à participação do trabalhador no custo de alimentação concedida sob a forma de ticket ou cartão, por empresa não vinculada ao PAT|01/09/2020|-
9243|Cesta básica ou refeição, vinculada ao PAT - desconto|Desconto referente à participação do trabalhador no custo de alimentação concedida sob a forma de cesta básica ou refeição, por empresa vinculada ao PAT|01/09/2020|-
9244|Cesta básica ou refeição, não vinculada ao PAT - desconto|Desconto referente à participação do trabalhador no custo de alimentação concedida sob a forma de cesta básica ou refeição, por empresa não vinculada ao PAT|01/09/2020|-
9250|Seguro de vida - desconto|Desconto referente a participação do trabalhador no custo ou em virtude de concessão do benefício em valor maior|01/01/2014|-
9254|Empréstimos consignados - desconto|Desconto de trabalhadores a título de empréstimos consignados, para repasse a instituição financeira consignatária|01/01/2014|-
9255|Empréstimos do empregador - desconto|Desconto de trabalhadores a título de empréstimos efetuados pelo empregador ao trabalhador|01/01/2014|-
9258|Convênios|Desconto relativos a convênios diversos com empresas para fornecimento de produtos ou serviços ao empregado, sem pagamento imediato, mas com posterior desconto em folha de pagamento como farmácias, supermercados, etc.|01/01/2014|-
9260|Fies - desconto|Desconto referente à amortização de financiamento do Fundo de Financiamento Estudantil (Fies), para repasse à instituição consignatária|01/05/2018|-
9270|Danos e prejuízos causados pelo trabalhador|Desconto do trabalhador para reparar danos e prejuízos por ele causados|01/01/2014|-
9290|Desconto de pagamento indevido em meses anteriores|Valor correspondente a desconto de verbas pagas indevidamente ao trabalhador em meses anteriores e que estão sendo descontadas no mês de referência, exceto valores relativos a assistência médica, alimentação, previdência complementar e seguro de vida|01/01/2014|-
9291|Abate-teto|Valor deduzido da remuneração total do segurado que supere o teto remuneratório constitucional|01/09/2020|-
9292|Ressarcimento ao erário|Valor deduzido da remuneração para pagamento de ressarcimento ou de penalidade|01/09/2020|-
9293|Honorários advocatícios|Valor descontado do trabalhador por determinação judicial a ser pago ao advogado/escritório de advocacia|01/09/2020|-
9294|Redutor EC 41/03|Valor descontado da remuneração do instituidor da pensão (Emenda Constitucional 41/2003)|01/09/2020|-
9299|Outros descontos|Outros descontos não previstos nos demais itens|01/01/2014|-
9901|Base de cálculo da contribuição previdenciária|Valor total da base de cálculo da contribuição previdenciária|01/01/2014|-
9902|Total da base de cálculo do FGTS|Valor total da base de cálculo do FGTS|01/01/2014|-
9903|Total da base de cálculo do IRRF|Valor total da base de cálculo do Imposto de Renda Retido na Fonte|01/01/2014|-
9904|Total da base de cálculo do FGTS rescisório|Valor total da base de cálculo do FGTS rescisório|01/01/2014|-
9905|Serviço militar|Valor não relativo a vencimento ou desconto, relativo à remuneração a que teria direito, se em atividade, o trabalhador afastado do trabalho para prestação do serviço militar obrigatório|01/01/2014|-
9906|Remuneração no exterior|Remuneração recebida no exterior por trabalhador expatriado sobre a qual incida contribuição previdenciária e/ou IRRF e/ou FGTS|01/01/2014|-
9907|Total da contribuição da previdenciária patronal - RPPS|Valor total da contribuição previdenciária patronal para o RPPS (normal, suplementar e aportes)|01/09/2020|-
9908|FGTS - depósito|Valor do depósito do FGTS|01/01/2014|-
9910|Seguros|Valor relativo a prêmio de seguro de vida em grupo pago a empresa de seguros como benefício do trabalhador|01/01/2014|-
9911|Assistência Médica|Valor não relativo a vencimento ou desconto, relativo à assistência prestada por serviço médico ou odontológico, próprio da empresa ou por ela conveniado, como benefício ao trabalhador|01/01/2014|-
9930|Salário-maternidade pago pela Previdência Social|Valor correspondente à remuneração mensal do(a) trabalhador(a) durante a licença maternidade, quando paga pela Previdência Social (RGPS ou pela Unidade Gestora do RPPS)|01/01/2014|-
9931|Salário-maternidade pago pela Previdência Social - 13° salário|Valor correspondente ao 13° salário do(a) trabalhador(a) durante a licença maternidade, quando pago pela Previdência Social (RGPS ou pela Unidade Gestora do RPPS)|01/01/2014|-
9932|Auxílio-doença acidentário|Valor relativo a base de cálculo do FGTS incidente sobre benefício previdenciário pago por Previdência Social Oficial a trabalhador afastado por acidente de trabalho|01/01/2014|-
9933|Auxílio-doença|Valor de benefício previdenciário pago por Regime Próprio de Previdência Social ou valor de auxílio doença dedutível conf. Lei nº 13.982 (Covid-19)|01/01/2014|-
9938|Isenção IRRF - 65 anos|Valor da parcela isenta dos rendimentos de aposentadoria e pensão, transferência para a reserva remunerada ou reforma, pagos por órgão público de previdência oficial ou por entidade de previdência complementar, no caso de contribuinte com idade igual ou superior a 65 anos|01/01/2014|-
9939|Outros valores tributáveis|Valor não relativo a vencimento ou desconto mas considerado como base de cálculo do FGTS, e/ou da contribuição previdenciária e/ou do Imposto de Renda Retido na Fonte inclusive suas deduções e isenções|01/01/2014|-
9950|Horas extraordinárias - Banco de horas|Quantidade (em número decimal com dois dígitos) de horas extraordinárias incorporadas ao banco de horas|01/01/2014|31/10/2019
